task,reward,seed,batches,final,n,mean_score,specificity_regret,crosstalk_rate,success_rate,mean_on_target,mean_off_target,reward_achieved
cognate,margin,0,50,0,60,0.8305781378833335,0.28757568011666645,0.0,0.7333333333333333,0.8562004313333333,0.025622293450000003,0.8305781378833335
cognate,margin,0,75,0,60,0.8413475079833336,0.27680631001666633,0.0,0.8166666666666667,0.8714072576166668,0.030059749633333334,0.8413475079833336
cognate,margin,0,100,0,60,0.85491908905,0.2632347289499999,0.0,0.8166666666666667,0.8726483885666667,0.017729299516666668,0.85491908905
cognate,margin,0,125,0,60,0.7904715096833335,0.32768230831666645,0.0,0.65,0.8331864437833333,0.04271493410000001,0.7904715096833335
cognate,margin,0,150,0,60,0.82783600625,0.29031781174999993,0.0,0.75,0.8571825601666667,0.02934655391666667,0.82783600625
cognate,margin,0,0,1,200,0.767570366495,0.3505834515049999,0.0,0.695,0.8384927307850001,0.07092236429,0.767570366495
cognate,margin,0,150,1,200,0.8360415236950002,0.28211229430499973,0.0,0.76,0.8557914959800001,0.019749972285,0.8360415236950002
cognate,margin,1,0,0,60,0.8395041524666668,0.27864966553333315,0.0,0.85,0.8846246178333335,0.045120465366666675,0.8395041524666668
cognate,margin,1,25,0,60,0.7998500996333332,0.3183037183666667,0.0,0.7333333333333333,0.8457836019666668,0.04593350233333334,0.7998500996333332
cognate,margin,1,50,0,60,0.8447851053833335,0.2733687126166664,0.0,0.7833333333333333,0.8789044418333333,0.03411933645,0.8447851053833335
cognate,margin,1,75,0,60,0.8381981247333332,0.2799556932666667,0.0,0.75,0.8739490932833333,0.035750968550000005,0.8381981247333332
cognate,margin,1,100,0,60,0.8398712422166668,0.27828257578333315,0.016666666666666666,0.8333333333333334,0.8937256591999999,0.05385441698333333,0.8398712422166668
cognate,margin,1,125,0,60,0.7702579747333334,0.34789584326666656,0.0,0.7666666666666667,0.8656741252,0.09541615046666665,0.7702579747333334
cognate,margin,1,150,0,60,0.8174841079166667,0.3006697100833332,0.0,0.75,0.8457327258833335,0.028248617966666664,0.8174841079166667
cognate,margin,1,0,1,200,0.74101018643,0.37714363156999986,0.005,0.675,0.812125638455,0.071115452025,0.74101018643
cognate,margin,1,150,1,200,0.84388605763,0.2742677603699999,0.0,0.815,0.87878546605,0.03489940842,0.84388605763
cognate,margin,10,0,0,60,0.7688758319833333,0.3492779860166666,0.0,0.6833333333333333,0.8335936594166669,0.06471782743333333,0.7688758319833333
cognate,margin,10,25,0,60,0.8118380555333335,0.30631576246666636,0.0,0.7666666666666667,0.8677911687833334,0.05595311325,0.8118380555333335
cognate,margin,10,50,0,60,0.8399699353333335,0.2781838826666664,0.0,0.7666666666666667,0.8846034573499999,0.04463352201666668,0.8399699353333335
cognate,margin,10,75,0,60,0.7849748431333333,0.3331789748666666,0.0,0.75,0.8462171958500001,0.06124235271666667,0.7849748431333333
cognate,margin,10,100,0,60,0.8298422158,0.28831160219999996,0.0,0.7833333333333333,0.8722116074166668,0.04236939161666666,0.8298422158
cognate,margin,10,125,0,60,0.8544771242166666,0.26367669378333336,0.0,0.7666666666666667,0.8634466226666666,0.00896949845,0.8544771242166666
cognate,margin,10,150,0,60,0.8518993417666667,0.2662544762333332,0.0,0.7833333333333333,0.8707794211666666,0.018880079400000003,0.8518993417666667
cognate,margin,10,0,1,200,0.7759258587300001,0.3422279592699998,0.0,0.71,0.83666107991,0.06073522117999999,0.7759258587300001
cognate,margin,10,150,1,200,0.8305748782999999,0.28757893970000004,0.0,0.81,0.87917395148,0.048599073179999994,0.8305748782999999
cognate,margin,11,0,0,60,0.7836896732166668,0.3344641447833331,0.0,0.6833333333333333,0.8376093458500001,0.05391967263333333,0.7836896732166668
cognate,margin,11,25,0,60,0.78471641555,0.33343740244999986,0.0,0.7166666666666667,0.83715484825,0.05243843270000001,0.78471641555
cognate,margin,11,50,0,60,0.8099788352666668,0.3081749827333331,0.0,0.7833333333333333,0.8756366538500001,0.06565781858333333,0.8099788352666668
cognate,margin,11,75,0,60,0.7689700635833335,0.3491837544166664,0.0,0.7833333333333333,0.8548933816833332,0.0859233181,0.7689700635833335
cognate,margin,11,100,0,60,0.83955324045,0.2786005775499999,0.0,0.8,0.8813972367166668,0.04184399626666667,0.83955324045
cognate,margin,11,125,0,60,0.83136053065,0.28679328734999987,0.0,0.8333333333333334,0.8915205520333331,0.06016002138333333,0.83136053065
cognate,margin,11,150,0,60,0.8546871750166667,0.2634666429833332,0.0,0.8833333333333333,0.8763229078666668,0.021635732849999995,0.8546871750166667
cognate,margin,11,0,1,200,0.7715998811750001,0.3465539368249998,0.0,0.7,0.8335569583450001,0.061957077170000006,0.7715998811750001
cognate,margin,11,150,1,200,0.862046223145,0.2561075948549999,0.0,0.85,0.8955773389500001,0.033531115805,0.862046223145
cognate,margin,12,0,0,60,0.7792492090666667,0.3389046089333332,0.0,0.7,0.8384538574833335,0.05920464841666666,0.7792492090666667
cognate,margin,12,25,0,60,0.7719920414833334,0.34616177651666646,0.0,0.75,0.8490881186500001,0.07709607716666667,0.7719920414833334
cognate,margin,12,50,0,60,0.7896721968833332,0.3284816211166667,0.0,0.6666666666666666,0.8309916719000001,0.04131947501666667,0.7896721968833332
cognate,margin,12,75,0,60,0.7901674160833333,0.3279864019166666,0.0,0.7666666666666667,0.8641774690166667,0.07401005293333333,0.7901674160833333
cognate,margin,12,100,0,60,0.8481986296166668,0.2699551883833331,0.0,0.7833333333333333,0.8790536823499999,0.030855052733333325,0.8481986296166668
cognate,margin,12,125,0,60,0.8438934286666666,0.2742603893333333,0.0,0.7833333333333333,0.8765325461500001,0.032639117483333334,0.8438934286666666
cognate,margin,12,150,0,60,0.8583453178333332,0.2598085001666667,0.0,0.85,0.88441689985,0.026071582016666664,0.8583453178333332
cognate,margin,12,0,1,200,0.7816646173449999,0.336489200655,0.0,0.705,0.8462390378199999,0.064574420475,0.7816646173449999
cognate,margin,12,150,1,200,0.8634927597050001,0.25466105829499985,0.0,0.87,0.887416476225,0.023923716519999996,0.8634927597050001
cognate,margin,13,0,0,60,0.7974563955166667,0.3206974224833332,0.0,0.7666666666666667,0.8607529983000001,0.06329660278333334,0.7974563955166667
cognate,margin,13,25,0,60,0.7680314168999999,0.35012240110000004,0.0,0.6666666666666666,0.8218580253333333,0.05382660843333334,0.7680314168999999
cognate,margin,13,50,0,60,0.8051054671666665,0.3130483508333334,0.0,0.7333333333333333,0.86569410405,0.06058863688333334,0.8051054671666665
