aggregation,auc,auc_hi,auc_lo,baseline_auc,flank,mode,n_chunks,rho_off,rho_on,scorer,tokens,total_nt,transform
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,1440,recursive,1,-0.00358770126004312,-0.21401449864527766,markov5,527,3162,shuffle_mono
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,recursive,2,-0.00358770126004312,-0.21401449864527766,markov5,527,6042,shuffle_mono
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,recursive,2,-0.00358770126004312,-0.21401449864527766,markov5,527,6042,shuffle_mono
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,recursive,2,-0.00358770126004312,-0.21401449864527766,markov5,527,6042,shuffle_mono
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,recursive,2,-0.00358770126004312,-0.21401449864527766,markov5,527,6042,shuffle_mono
nearest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,recursive,2,-0.00358770126004312,-0.21401449864527766,markov5,527,6042,shuffle_mono
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,2880,recursive,2,-0.00358770126004312,-0.21401449864527766,markov5,527,6042,shuffle_mono
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,4320,recursive,3,-0.00358770126004312,-0.21401449864527766,markov5,527,8922,shuffle_mono
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,4320,recursive,3,-0.00358770126004312,-0.21401449864527766,markov5,527,8922,shuffle_mono
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,4320,recursive,3,-0.00358770126004312,-0.21401449864527766,markov5,527,8922,shuffle_mono
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,4320,recursive,3,-0.00358770126004312,-0.21401449864527766,markov5,527,8922,shuffle_mono
nearest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,4320,recursive,3,-0.00358770126004312,-0.21401449864527766,markov5,527,8922,shuffle_mono
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,4320,recursive,3,-0.00358770126004312,-0.21401449864527766,markov5,527,8922,shuffle_mono
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,5760,recursive,4,-0.00358770126004312,-0.21401449864527766,markov5,527,11802,shuffle_mono
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,5760,recursive,4,-0.00358770126004312,-0.21401449864527766,markov5,527,11802,shuffle_mono
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,5760,recursive,4,-0.00358770126004312,-0.21401449864527766,markov5,527,11802,shuffle_mono
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,5760,recursive,4,-0.00358770126004312,-0.21401449864527766,markov5,527,11802,shuffle_mono
nearest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,5760,recursive,4,-0.00358770126004312,-0.21401449864527766,markov5,527,11802,shuffle_mono
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,5760,recursive,4,-0.00358770126004312,-0.21401449864527766,markov5,527,11802,shuffle_mono
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,8640,recursive,6,-0.00358770126004312,-0.21401449864527766,markov5,527,17562,shuffle_mono
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,8640,recursive,6,-0.00358770126004312,-0.21401449864527766,markov5,527,17562,shuffle_mono
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,8640,recursive,6,-0.00358770126004312,-0.21401449864527766,markov5,527,17562,shuffle_mono
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,8640,recursive,6,-0.00358770126004312,-0.21401449864527766,markov5,527,17562,shuffle_mono
