task,split,features,family,model,config,layer,pooling,selected,train_cv_auc,n_train,n_test,n_features,orient,C,auc_lo,auc_hi,auc,mcc,tpr@1,clustercov@1,missrun@1,tpr@10,clustercov@10,missrun@10
splice_sites_all,shipped,HyenaDNA-small-32k:L3_mean,model,HyenaDNA-small-32k,L3_mean,3,mean,,0.6988858623771521,8001,2976,256,rc,0.003,,,0.6908988648247351,0.23590063959099017,0.011566771819137749,0.018900343642611683,173,0.17665615141955837,0.2422680412371134,19
splice_sites_all,shipped,HyenaDNA-small-32k:L3_max,model,HyenaDNA-small-32k,L3_max,3,max,,0.6570036544921014,8001,2976,256,fwd,0.003,0.6568458663785104,0.6871662635651297,0.6702888620672539,0.19983930710008885,0.00946372239747634,0.015463917525773196,189,0.17350157728706625,0.23539518900343642,26
splice_sites_all,shipped,HyenaDNA-small-32k:L3_max,model,HyenaDNA-small-32k,L3_max,3,max,,0.6570036544921014,8001,2976,256,rc,0.003,,,0.6636006461500928,0.18755347487555735,0.013669821240799159,0.022336769759450172,224,0.1650893796004206,0.23711340206185566,40
splice_sites_all,shipped,HyenaDNA-small-32k:L3_last,model,HyenaDNA-small-32k,L3_last,3,last,,0.595345855838155,8001,2976,256,fwd,0.003,0.5790389192531735,0.6150958037497261,0.5957985167272949,0.1273440530331587,0.013669821240799159,0.022336769759450172,113,0.12302839116719243,0.17869415807560138,33
splice_sites_all,shipped,HyenaDNA-small-32k:L3_last,model,HyenaDNA-small-32k,L3_last,3,last,,0.595345855838155,8001,2976,256,rc,0.003,,,0.6110086672363505,0.1424835885341209,0.02103049421661409,0.03436426116838488,126,0.15141955835962145,0.22164948453608246,23
splice_sites_all,shipped,HyenaDNA-small-32k:L4_mean,model,HyenaDNA-small-32k,L4_mean,4,mean,cv+default,0.7000845209016906,8001,2976,256,fwd,0.03,0.692370899606805,0.7202469769749105,0.7054724744641027,0.2596109367057847,0.023133543638275498,0.03608247422680412,170,0.2103049421661409,0.2852233676975945,25
splice_sites_all,shipped,HyenaDNA-small-32k:L4_mean,model,HyenaDNA-small-32k,L4_mean,4,mean,cv+default,0.7000845209016906,8001,2976,256,rc,0.03,,,0.6871984247629439,0.22215640803967293,0.014721345951629864,0.022336769759450172,157,0.17665615141955837,0.2422680412371134,27
splice_sites_all,shipped,HyenaDNA-small-32k:L4_max,model,HyenaDNA-small-32k,L4_max,4,max,,0.657896919082718,8001,2976,256,fwd,0.003,0.6533826583448826,0.6871601128663779,0.6690793417903623,0.20793218658244142,0.014721345951629864,0.024054982817869417,191,0.14195583596214512,0.2027491408934708,34
splice_sites_all,shipped,HyenaDNA-small-32k:L4_max,model,HyenaDNA-small-32k,L4_max,4,max,,0.657896919082718,8001,2976,256,rc,0.003,,,0.6668950566274665,0.20151756132051069,0.014721345951629864,0.024054982817869417,161,0.14931650893796003,0.21993127147766323,39
splice_sites_all,shipped,HyenaDNA-small-32k:L4_last,model,HyenaDNA-small-32k,L4_last,4,last,,0.6180106674529112,8001,2976,256,fwd,0.003,0.6118944430598817,0.6445126837996976,0.625998919844658,0.1541207570319467,0.02103049421661409,0.03436426116838488,187,0.14090431125131442,0.19931271477663232,45
splice_sites_all,shipped,HyenaDNA-small-32k:L4_last,model,HyenaDNA-small-32k,L4_last,4,last,,0.6180106674529112,8001,2976,256,rc,0.003,,,0.624960968488388,0.14303232861785287,0.01892744479495268,0.030927835051546393,151,0.15247108307045215,0.22508591065292097,37
splice_sites_all,cluster,HyenaDNA-small-32k:L2_mean,model,HyenaDNA-small-32k,L2_mean,2,mean,,0.6873674728275105,8001,2977,256,fwd,0.003,0.6874873154497518,0.7174760990351824,0.7026866006301556,0.2576001527967621,0.012909632571996028,0.016229712858926344,287,0.17775571002979146,0.20599250936329588,47
