auc,auc_hi,auc_lo,flank,mode,n_chunks,rho_off,rho_on,seed,transform
0.3033212247016087,0.35796579185840804,0.2533004515548657,14400,recursive,10,-0.009087395719821482,-0.1809746629470937,1,shuffle_dinuc
0.3121691748832382,0.3678357016609654,0.26117844194335077,17280,recursive,12,-0.011243933760629859,-0.17565292655477163,1,shuffle_dinuc
0.3280228334198236,0.38477340271274074,0.2746094990295372,20160,recursive,14,-0.030228390462345458,-0.18151328402956296,1,shuffle_dinuc
0.2857810067462377,0.3367863333158254,0.23445711215986687,1440,recursive,1,0.1187473359016958,-0.04689609303748097,2,shuffle_dinuc
0.30007784120394393,0.35099409983243257,0.248784563023981,2880,recursive,2,0.09251158053832431,-0.07925106078119155,2,shuffle_dinuc
0.3104826154644525,0.36299037798660916,0.26027972474110306,4320,recursive,3,0.06859844095965413,-0.09205798862552243,2,shuffle_dinuc
0.3183445770627919,0.37134299879650123,0.26730896814435845,5760,recursive,4,0.056617385916447625,-0.08514426778970673,2,shuffle_dinuc
0.30993772703684486,0.3633791136541953,0.25823576824226635,8640,recursive,6,0.02019522069314375,-0.14292402497778978,2,shuffle_dinuc
0.29911779968863517,0.3528280351196817,0.24799212232015963,11520,recursive,8,0.03578491926210671,-0.13143218671853915,2,shuffle_dinuc
0.31357031655422934,0.3672257379795936,0.26140967802954984,14400,recursive,10,0.01901371085474654,-0.13224185855963572,2,shuffle_dinuc
0.3195121951219512,0.37329216277932253,0.26593790122666283,17280,recursive,12,0.010082433601068365,-0.14060079307728734,2,shuffle_dinuc
0.3202387130254281,0.3740194828571008,0.2668100326894575,20160,recursive,14,0.008467811385126514,-0.1313841922095308,2,shuffle_dinuc
