task,split,features,family,n_train,n_test,n_features,orient,C,auc_lo,auc_hi,auc,mcc,tpr@1,clustercov@1,missrun@1,tpr@10,clustercov@10,missrun@10
promoter_tata,random,onehot,trivial,5059,212,1200,fwd,0.003,0.8971304264572798,0.9641592017061391,0.9349981968986658,0.740610171340183,0.4148936170212766,0.4148936170212766,10,0.8404255319148937,0.8404255319148937,2
promoter_tata,random,onehot,trivial,5059,212,1200,rc,0.003,,,0.7104219257122251,0.32283007468674646,0.07446808510638298,0.07446808510638298,40,0.3191489361702128,0.3191489361702128,12
enhancers,shipped,pwm,trivial,8000,2943,3200,fwd,,0.7138973609404108,0.7528630371748757,0.7320313907352065,0.3320047065026809,0.03372333103922918,0.04531410916580844,123,0.2856159669649002,0.3357363542739444,17
enhancers,shipped,pwm,trivial,8000,2943,3200,rc,,,,0.6995307094324633,0.2898674968315606,0.034411562284927734,0.046343975283213185,123,0.24569855471438404,0.2945417095777549,16
enhancers,shipped,gc_cpg,trivial,8000,2943,2,fwd,3.0,0.6872274660298476,0.726635294052269,0.705487604909075,0.28580718728452525,0.03234686854783207,0.04531410916580844,123,0.2629043358568479,0.309989701338826,16
enhancers,shipped,gc_cpg,trivial,8000,2943,2,rc,3.0,,,0.705487604909075,0.28580718728452525,0.03234686854783207,0.04531410916580844,123,0.2629043358568479,0.309989701338826,16
enhancers,shipped,kmer3,trivial,8000,2943,64,fwd,0.03,0.7420351898604106,0.7781985094779067,0.7589222945352593,0.3890938292829083,0.03372333103922918,0.05046343975283213,88,0.3379215416379904,0.40679711637487126,16
enhancers,shipped,kmer3,trivial,8000,2943,64,rc,0.03,,,0.7294193453027062,0.33472323615888216,0.04198210598761184,0.05973223480947477,126,0.3083275980729525,0.36766220391349125,16
enhancers,shipped,kmer4,trivial,8000,2943,256,fwd,0.003,0.7667022940736244,0.8027633256973082,0.7847318900492848,0.41763839067302205,0.04129387474191328,0.05870236869207003,102,0.38403303509979353,0.46138002059732236,11
enhancers,shipped,kmer4,trivial,8000,2943,256,rc,0.003,,,0.7520238155725022,0.37006412168949915,0.034411562284927734,0.04737384140061792,152,0.3296627666896077,0.4016477857878476,12
enhancers,shipped,kmer5,trivial,8000,2943,1024,fwd,0.003,0.7594933404018817,0.795149983112536,0.7780403423604023,0.4203569203292234,0.03509979353062629,0.04943357363542739,122,0.370956641431521,0.4490216271884655,13
enhancers,shipped,kmer5,trivial,8000,2943,1024,rc,0.003,,,0.7424112112408023,0.35919000306469395,0.03785271851342051,0.055612770339855816,144,0.29318651066758433,0.3707518022657055,22
enhancers,shipped,kmer6,trivial,8000,2943,4096,fwd,0.003,0.7306672022525506,0.771525737623221,0.7516418241361312,0.3564714734084926,0.024088093599449415,0.03604531410916581,134,0.33516861665519615,0.4232749742533471,18
