task,split,features,family,model,config,layer,pooling,selected,train_cv_auc,n_train,n_test,n_features,orient,C,auc_lo,auc_hi,auc,mcc,tpr@1,clustercov@1,missrun@1,tpr@10,clustercov@10,missrun@10
promoter_tata,shipped,NT-v2-50M:L9_win8,model,NT-v2-50M,L9_win8,9,win8,,0.9406436736195521,5059,212,4096,fwd,0.003,0.927411846689256,0.9773553701568556,0.9554111783552867,0.7547169811320755,0.4811320754716981,0.5,6,0.839622641509434,0.8627450980392157,3
promoter_tata,shipped,NT-v2-50M:L9_win8,model,NT-v2-50M,L9_win8,9,win8,,0.9406436736195521,5059,212,4096,rc,0.003,,,0.8507475970096119,0.49056603773584906,0.27358490566037735,0.28431372549019607,13,0.5943396226415094,0.6078431372549019,4
promoter_tata,shipped,NT-v2-50M:L12_win8,model,NT-v2-50M,L12_win8,12,win8,default,0.927993264334086,5059,212,4096,fwd,0.003,0.9064816071473704,0.9674139509244649,0.9393022427910289,0.7358490566037735,0.10377358490566038,0.10784313725490197,28,0.8301886792452831,0.8333333333333334,2
promoter_tata,shipped,NT-v2-50M:L12_win8,model,NT-v2-50M,L12_win8,12,win8,default,0.927993264334086,5059,212,4096,rc,0.003,,,0.8506585973656104,0.5471698113207547,0.1792452830188679,0.18627450980392157,12,0.5,0.5196078431372549,6
promoter_tata,cluster,NT-v2-50M:L6_win8,model,NT-v2-50M,L6_win8,6,win8,cv,0.941342419199244,5059,212,4096,fwd,0.003,0.9232376618587902,0.9738719745269842,0.9535445757250268,0.7568756326085965,0.6666666666666666,0.6923076923076923,6,0.8508771929824561,0.8653846153846154,2
promoter_tata,cluster,NT-v2-50M:L6_win8,model,NT-v2-50M,L6_win8,6,win8,cv,0.941342419199244,5059,212,4096,rc,0.003,,,0.8298424633011099,0.45412537956515786,0.15789473684210525,0.17307692307692307,12,0.6228070175438597,0.6442307692307693,6
promoter_tata,cluster,NT-v2-50M:L9_win8,model,NT-v2-50M,L9_win8,9,win8,,0.9387690009777493,5059,212,4096,fwd,0.003,0.9161663583790675,0.9690484157676765,0.9446831364124597,0.7568756326085965,0.5350877192982456,0.5769230769230769,6,0.8333333333333334,0.8461538461538461,3
promoter_tata,cluster,NT-v2-50M:L9_win8,model,NT-v2-50M,L9_win8,9,win8,,0.9387690009777493,5059,212,4096,rc,0.003,,,0.8329752953813104,0.5108910520108026,0.30701754385964913,0.3269230769230769,7,0.5701754385964912,0.6153846153846154,6
promoter_tata,cluster,NT-v2-50M:L12_win8,model,NT-v2-50M,L12_win8,12,win8,default,0.9279945820141776,5059,212,4096,fwd,0.003,0.8917595089692573,0.954853371805707,0.9261546723952739,0.6622661785325219,0.40350877192982454,0.4326923076923077,6,0.7807017543859649,0.7884615384615384,3
promoter_tata,cluster,NT-v2-50M:L12_win8,model,NT-v2-50M,L12_win8,12,win8,default,0.9279945820141776,5059,212,4096,rc,0.003,,,0.8164160401002507,0.4919691611955877,0.16666666666666666,0.17307692307692307,12,0.5964912280701754,0.6442307692307693,3
promoter_tata,random,NT-v2-50M:L6_win8,model,NT-v2-50M,L6_win8,6,win8,cv,0.9417677980606349,5059,212,4096,fwd,0.003,0.9179249086920676,0.9703476085993555,0.9487919221060224,0.7216201669468449,0.4787234042553192,0.4787234042553192,6,0.8297872340425532,0.8297872340425532,3
promoter_tata,random,NT-v2-50M:L6_win8,model,NT-v2-50M,L6_win8,6,win8,cv,0.9417677980606349,5059,212,4096,rc,0.003,,,0.8290659935088354,0.4747501098334507,0.22340425531914893,0.22340425531914893,11,0.5957446808510638,0.5957446808510638,6
promoter_tata,random,NT-v2-50M:L9_win8,model,NT-v2-50M,L9_win8,9,win8,,0.9407127553059845,5059,212,4096,fwd,0.003,0.9233488393917795,0.9741692779979407,0.9532996754417599,0.740610171340183,0.2872340425531915,0.2872340425531915,11,0.851063829787234,0.851063829787234,3
promoter_tata,random,NT-v2-50M:L9_win8,model,NT-v2-50M,L9_win8,9,win8,,0.9407127553059845,5059,212,4096,rc,0.003,,,0.8153624233681932,0.4177800966534366,0.23404255319148937,0.23404255319148937,13,0.5319148936170213,0.5319148936170213,6
promoter_tata,random,NT-v2-50M:L12_win8,model,NT-v2-50M,L12_win8,12,win8,default,0.9288738606547865,5059,212,4096,fwd,0.003,0.8828466756299095,0.9551843793602659,0.9229174179588893,0.7216201669468449,0.19148936170212766,0.19148936170212766,15,0.6914893617021277,0.6914893617021277,4
promoter_tata,random,NT-v2-50M:L12_win8,model,NT-v2-50M,L12_win8,12,win8,default,0.9288738606547865,5059,212,4096,rc,0.003,,,0.8165344392354851,0.4177800966534366,0.22340425531914893,0.22340425531914893,11,0.5,0.5,6
