task,split,family,entry,auc,auc_lo,auc_hi,auc_rc,mcc,tpr1,clustercov1,missrun1,tpr10,clustercov10,n_test
promoter_tata,cluster,model,NT-v2-50M train-CV config (L6_cls),0.9302721088435376,0.8892676496763485,0.9592009952129,0.8336913712853563,0.6811880693477368,0.5614035087719298,0.6057692307692307,6,0.7719298245614035,0.7884615384615384,212
promoter_tata,cluster,model,"NT-v2-50M final layer, mean (L12_mean)",0.9064625850340136,0.8642447688817745,0.9403718382270304,0.8929466523451485,0.7001099601629517,0.2456140350877192,0.2692307692307692,7,0.8157894736842105,0.8365384615384616,212
promoter_tata,cluster,model_oracle,NT-v2-50M best-of-9 ON TEST (L6_cls),0.9302721088435376,0.8892676496763485,0.9592009952129,0.8336913712853563,0.6811880693477368,0.5614035087719298,0.6057692307692307,6,0.7719298245614035,0.7884615384615384,212
promoter_tata,cluster,model,HyenaDNA-small-32k train-CV config (L4_mean),0.9154135338345863,0.8760983130866561,0.9492118231517198,0.8827425707124955,0.643344287717307,0.2543859649122807,0.2788461538461538,8,0.7807017543859649,0.7884615384615384,212
promoter_tata,cluster,model,"HyenaDNA-small-32k final layer, mean (L4_mean)",0.9154135338345863,0.8760983130866561,0.9492118231517198,0.8827425707124955,0.643344287717307,0.2543859649122807,0.2788461538461538,8,0.7807017543859649,0.7884615384615384,212
promoter_tata,cluster,model_oracle,HyenaDNA-small-32k best-of-9 ON TEST (L4_mean),0.9154135338345863,0.8760983130866561,0.9492118231517198,0.8827425707124955,0.643344287717307,0.2543859649122807,0.2788461538461538,8,0.7807017543859649,0.7884615384615384,212
promoter_tata,cluster,model_positional,NT-v2-50M POST-HOC windowed readout (L6_win8),0.9535445757250268,0.9232376618587902,0.9738719745269842,0.8298424633011099,0.7568756326085965,0.6666666666666666,0.6923076923076923,6,0.8508771929824561,0.8653846153846154,212
promoter_tata,cluster,model_positional,HyenaDNA-small-32k POST-HOC windowed readout (L2_win8),0.9362692445399212,0.9001083345273803,0.963661257333008,0.8067490153956318,0.7190318509781667,0.4912280701754385,0.5288461538461539,6,0.8245614035087719,0.8365384615384616,212
promoter_tata,random,trivial,best trivial: onehot,0.9349981968986658,0.8971304264572798,0.9641592017061392,0.7104219257122251,0.740610171340183,0.4148936170212766,0.4148936170212766,10,0.8404255319148937,0.8404255319148937,212
promoter_tata,random,trivial,trivial: onehot,0.9349981968986658,0.8971304264572798,0.9641592017061392,0.7104219257122251,0.740610171340183,0.4148936170212766,0.4148936170212766,10,0.8404255319148937,0.8404255319148937,212
promoter_tata,random,trivial,trivial: kmer5,0.9109267940858276,0.8683687788421699,0.9435400837214004,0.8999278759466283,0.6266701449801548,0.2553191489361702,0.2553191489361702,12,0.7127659574468085,0.7127659574468085,212
promoter_tata,random,trivial,trivial: pwm,0.8798232960692391,0.8322015260033012,0.9225950378108092,0.8482690227190767,0.5697001318001408,0.202127659574468,0.202127659574468,14,0.6808510638297872,0.6808510638297872,212
promoter_tata,random,model,NT-v2-50M train-CV config (L9_cls),0.9264334655607646,0.8864153106873193,0.9590684090105744,0.8240173097728092,0.702630162553507,0.3723404255319149,0.3723404255319149,9,0.7446808510638298,0.7446808510638298,212
promoter_tata,random,model,"NT-v2-50M final layer, mean (L12_mean)",0.9048864046159394,0.8563664742917916,0.9375666975975188,0.8912729895420122,0.6076801405868169,0.2234042553191489,0.2234042553191489,11,0.7021276595744681,0.7021276595744681,212
promoter_tata,random,model_oracle,NT-v2-50M best-of-9 ON TEST (L6_cls),0.934186801298233,0.8982492872910071,0.9656583795799022,0.8351965380454381,0.702630162553507,0.4787234042553192,0.4787234042553192,8,0.723404255319149,0.723404255319149,212
promoter_tata,random,model,HyenaDNA-small-32k train-CV config (L4_mean),0.9258023800937611,0.8898233287502155,0.9570708639654552,0.8658492607284529,0.6646501537668309,0.2659574468085106,0.2659574468085106,11,0.7553191489361702,0.7553191489361702,212
promoter_tata,random,model,"HyenaDNA-small-32k final layer, mean (L4_mean)",0.9258023800937611,0.8898233287502155,0.9570708639654552,0.8658492607284529,0.6646501537668309,0.2659574468085106,0.2659574468085106,11,0.7553191489361702,0.7553191489361702,212
promoter_tata,random,model_oracle,HyenaDNA-small-32k best-of-9 ON TEST (L4_mean),0.9258023800937611,0.8898233287502155,0.9570708639654552,0.8658492607284529,0.6646501537668309,0.2659574468085106,0.2659574468085106,11,0.7553191489361702,0.7553191489361702,212
promoter_tata,random,model_positional,NT-v2-50M POST-HOC windowed readout (L6_win8),0.9487919221060224,0.9179249086920676,0.9703476085993556,0.8290659935088354,0.7216201669468449,0.4787234042553192,0.4787234042553192,6,0.8297872340425532,0.8297872340425532,212
promoter_tata,random,model_positional,HyenaDNA-small-32k POST-HOC windowed readout (L3_win8),0.9526685899747566,0.92279533759543,0.9736937814174904,0.8470068517850703,0.740610171340183,0.3297872340425531,0.3297872340425531,8,0.8404255319148937,0.8404255319148937,212
enhancers,shipped,trivial,best trivial: kmer4,0.7847318900492848,0.7667022940736244,0.8027633256973082,0.7520238155725022,0.417638390673022,0.0412938747419132,0.05870236869207,102,0.3840330350997935,0.4613800205973223,2943
enhancers,shipped,trivial,trivial: onehot,0.7536298424458537,0.7357483638492011,0.7714617581235189,0.6101738130320512,0.3809382403143044,0.0412938747419132,0.0607621009268795,128,0.321403991741225,0.4088568486096807,2943
enhancers,shipped,trivial,trivial: kmer5,0.7780403423604023,0.7594933404018817,0.795149983112536,0.7424112112408023,0.4203569203292234,0.0350997935306262,0.0494335736354273,122,0.370956641431521,0.4490216271884655,2943
enhancers,shipped,trivial,trivial: pwm,0.7320313907352065,0.7138973609404108,0.7528630371748757,0.6995307094324633,0.3320047065026809,0.0337233310392291,0.0453141091658084,123,0.2856159669649002,0.3357363542739444,2943
enhancers,shipped,model,NT-v2-50M train-CV config (L9_mean),0.8085682480588645,0.7916641641205365,0.8245178906602317,0.7820440929897413,0.4815238375937528,0.0502408809359944,0.074150360453141,75,0.3854094975911906,0.4685890834191555,2943
enhancers,shipped,model,"NT-v2-50M final layer, mean (L12_mean)",0.8006716028397621,0.7835390016255463,0.8184885834435639,0.7843660651186853,0.4733682486251488,0.0378527185134205,0.0556127703398558,121,0.3743977976600137,0.451081359423275,2943
enhancers,shipped,model_oracle,NT-v2-50M best-of-9 ON TEST (L6_mean),0.8113317967454515,0.7960169913327261,0.8276846597230576,0.7974110495757447,0.4747275134532495,0.0578114246386785,0.0834191555097837,72,0.421885753613214,0.5015447991761071,2943
