assay,molecule,selection,n,dropped,random,random_best,zero_shot_esm2,zero_shot_esm2_best,supervised_greedy,supervised_greedy_best,supervised_ucb,supervised_ucb_best,planner,planner_best,sup_eps10,sup_eps10_best,sup_eps25,sup_eps25_best,sup_eps50,sup_eps50_best
PTEN_HUMAN_Mighell_2018,PTEN,lipid phosphatase activity,7260,0,0.02808219178082192,0.8566479033615872,0.0684931506849315,0.9225441336692908,0.03767123287671234,0.8577363539894829,0.03424657534246575,0.8473806404699545,0.05114155251141552,0.9191267555018959,0.03561643835616438,0.8504184373802512,0.03881278538812786,0.8638298437026887,0.034018264840182645,0.8567913299820399
R1AB_SARS2_Flynn_growth_2022,mpro,,5725,0,0.03333333333333333,0.9914160497083384,0.05263157894736843,0.99084653776728,0.05292397660818713,0.991691840792545,0.04532163742690059,0.9919867447478867,0.053508771929824575,0.9926174445524345,0.04912280701754387,0.9917496113376106,0.05760233918128655,0.9922027563262346,0.038304093567251465,0.9911277020132377
RASH_HUMAN_Bandaru_2017,HRAS,activity,3134,0,0.06505376344086021,0.43012870834181716,0.12903225806451613,0.6883448086182374,0.12741935483870964,0.5157915997521777,0.11344086021505376,0.5176927863678612,0.11559139784946235,0.4596887014065875,0.11881720430107526,0.4791221848732931,0.1139784946236559,0.4761705386319618,0.09623655913978493,0.4513550378443795
REV_HV1H2_Fernandes_2016,rev,Growth,2147,0,0.07777777777777777,0.7652901395467168,0.23809523809523805,1.0,0.09365079365079364,0.7818331148589632,0.09523809523809525,0.8257677242744481,0.09126984126984124,0.7815275584535379,0.09365079365079367,0.7804109567746362,0.08015873015873015,0.7698087875051004,0.09126984126984125,0.7813060473766473
RL401_YEAST_Mavor_2016,Ubiquitin,Growth,1253,0,0.14615384615384613,0.8616790687712133,0.0,0.7303040728662654,0.07435897435897436,0.7934424408609442,0.07564102564102565,0.7940444663411281,0.07435897435897436,0.7988372888680293,0.08333333333333333,0.7972437833280421,0.09102564102564105,0.8053110994062591,0.12435897435897436,0.829847770556459
RL401_YEAST_Roscoe_2014,Ubiquitin,Binding,1380,0,0.13571428571428568,0.9539337915500433,0.0714285714285714,0.9341101541191011,0.3511904761904761,0.9626889684489593,0.33095238095238094,0.9632126066515745,0.2595238095238095,0.9580258614393856,0.3345238095238095,0.9608800537983663,0.3178571428571428,0.9588673249841269,0.25714285714285706,0.9587368298836475
SUMO1_HUMAN_Weile_2017,Small ubiquitin-related modifier 1,complementation,1700,0,0.1215686274509804,0.8654049126409709,0.1176470588235294,0.8809468757353837,0.16274509803921564,0.8620453502338399,0.15098039215686274,0.8511888442648422,0.10294117647058824,0.8461674982350089,0.15196078431372542,0.8515742580578876,0.13823529411764704,0.8523290298951203,0.13333333333333333,0.863442465335375
SYUA_HUMAN_Newberry_2020,alpha-synuclein,Growth,2497,0,0.07200000000000001,0.9359532861713988,0.04000000000000001,0.9372574068204627,0.13,0.943579160153704,0.11866666666666667,0.9457836150151243,0.10800000000000001,0.9426244486011899,0.11333333333333334,0.9472995386147743,0.10933333333333334,0.9444701431420442,0.094,0.9370299284773084
TAT_HV1BR_Fernandes_2016,tat,Growth,1577,0,0.125,0.7049106144748162,0.1875,0.7455820267526079,0.13645833333333332,0.7292761945083807,0.16666666666666666,0.7362650918375986,0.16458333333333333,0.7494773299820248,0.15104166666666666,0.7849682090167834,0.15,0.725935544741033,0.12708333333333333,0.7216263963477277
TPK1_HUMAN_Weile_2017,Thiamin pyrophosphokinase 1,complementation,3181,0,0.05572916666666667,0.8946676514450441,0.0,0.8023750165464965,0.08385416666666666,0.8867297243847239,0.08333333333333333,0.8865952214677486,0.04895833333333333,0.8645796476509727,0.084375,0.8897670190354753,0.08645833333333333,0.890041457769828,0.0796875,0.891612132862624
TPMT_HUMAN_Matreyek_2018,Thiopurine S-methyltransferase,Protein stability,3648,0,0.05138888888888889,0.8025986663319028,0.1388888888888889,0.8696000560321854,0.07361111111111109,0.8425140036896438,0.07083333333333332,0.8432396192910637,0.1009259259259259,0.8776154029117872,0.06990740740740739,0.8324073808008785,0.06574074074074074,0.8315745309476715,0.06249999999999999,0.8304796910700752
TRPC_SACS2_Chan_2017,TIM Barrell (S. solfataricus),Growth,1519,0,0.12555555555555556,0.9204226967134997,0.6666666666666664,0.9285440523893278,0.39666666666666656,0.9312550411225133,0.3788888888888888,0.9319328950676499,0.5744444444444443,0.9324830688690451,0.3944444444444445,0.932243406220857,0.35666666666666674,0.9352114202246076,0.3122222222222222,0.9323740292727646
TRPC_THEMA_Chan_2017,TIM Barrell (T. maritima),Growth,1519,0,0.11555555555555558,0.8630758376669788,0.6000000000000001,0.8778226930046694,0.3722222222222222,0.8978753426898048,0.4233333333333333,0.8973241909782869,0.541111111111111,0.8999263715128198,0.3711111111111111,0.8906601406633248,0.3466666666666667,0.8932242256763483,0.3,0.8929804754667019
UBC9_HUMAN_Weile_2017,SUMO-conjugating enzyme UBC9,complementation,2563,0,0.06987179487179487,0.5641369240798191,0.15384615384615383,0.5703280244424788,0.16538461538461538,0.743492566434797,0.16666666666666669,0.7033211327811819,0.17115384615384616,0.6337582642200896,0.16025641025641024,0.7960184916681636,0.17179487179487177,0.7525228635351549,0.13333333333333333,0.6407966290231497
VKOR1_HUMAN_Chiasson_abundance_2020,VKORC1,,2695,0,0.06728395061728394,0.9457710056170499,0.1481481481481482,0.926853116394692,0.19938271604938274,0.9754864924331003,0.19012345679012346,0.9800128243868983,0.18703703703703697,0.9663423014577562,0.19320987654320987,0.978160795186377,0.16604938271604935,0.9767259002270591,0.1345679012345679,0.966710700454889
