assay,condition,max_k,rho_sum,rho_per_mut,rho_k_vs_truth,rho_k_vs_esm
ESTA_BACSU_Nutschel_2020,beneficial,1,-0.05380330129164095,-0.05380330129164095,,
ESTA_BACSU_Nutschel_2020,beneficial,2,-0.25242997584486354,-0.06807748027140376,0.8660336514410644,-0.25580313396684734
ESTA_BACSU_Nutschel_2020,beneficial,3,-0.4000136167264481,-0.11941064182443685,0.9428120517107629,-0.4073086998200749
ESTA_BACSU_Nutschel_2020,beneficial,4,-0.44729365853414954,-0.105834660591313,0.9682472815958115,-0.45422735752090493
ESTA_BACSU_Nutschel_2020,beneficial,5,-0.4831371073412737,-0.08232396484147807,0.9797966919736601,-0.48890604956034084
ESTA_BACSU_Nutschel_2020,beneficial,6,-0.5549019583205933,-0.10098490670626714,0.9860137884784564,-0.5619167570384946
ESTA_BACSU_Nutschel_2020,random,1,0.23598298783839872,0.23598298783839872,,
ESTA_BACSU_Nutschel_2020,random,2,-0.2107604460597951,0.09223120450353202,0.8660271865844275,-0.37150366843266736
ESTA_BACSU_Nutschel_2020,random,3,-0.457489158371818,-0.008980959205234007,0.9428098010680424,-0.5481582630431817
ESTA_BACSU_Nutschel_2020,random,4,-0.5778028425075623,-0.046127168548676975,0.968246232029461,-0.6391936934682882
ESTA_BACSU_Nutschel_2020,random,5,-0.6377005674169607,-0.042595959793206066,0.9797961331216931,-0.6835204155839435
ESTA_BACSU_Nutschel_2020,random,6,-0.6795905622122401,-0.041089534456006445,0.9860134527457337,-0.7156921888437482
KKA2_KLEPN_Melnikov_2014,beneficial,1,0.08642280002488187,0.08642280002488187,,
KKA2_KLEPN_Melnikov_2014,beneficial,2,-0.32199614443612345,-0.0001498950403661625,0.8525168627595695,-0.4205318212295758
KKA2_KLEPN_Melnikov_2014,beneficial,3,-0.4712473245518005,-0.0065652025939580815,0.918927084377095,-0.5323721848320172
KKA2_KLEPN_Melnikov_2014,beneficial,4,-0.5509175067719256,0.015598695738641782,0.9461640763113051,-0.5975264758063166
KKA2_KLEPN_Melnikov_2014,beneficial,5,-0.615187076157828,0.02533226810394,0.9595614533189673,-0.6547683240683461
KKA2_KLEPN_Melnikov_2014,beneficial,6,-0.6760273008842339,0.008373908283507675,0.967671103261336,-0.7087531341840027
KKA2_KLEPN_Melnikov_2014,random,1,0.6128259479608298,0.6128259479608298,,
KKA2_KLEPN_Melnikov_2014,random,2,0.23819055048804322,0.4799731972954319,0.4429453338915197,-0.43999542444069767
KKA2_KLEPN_Melnikov_2014,random,3,0.008905624873924598,0.424694606406808,0.5773779527351118,-0.5759828864438021
KKA2_KLEPN_Melnikov_2014,random,4,-0.16166647070466977,0.37482898711030416,0.6606451681740401,-0.673923449390022
KKA2_KLEPN_Melnikov_2014,random,5,-0.2716937274158041,0.3499477674172321,0.7071004241160163,-0.7338629372924372
KKA2_KLEPN_Melnikov_2014,random,6,-0.3656347141470285,0.3156308811385089,0.746887711168464,-0.7746586001899816
TPMT_HUMAN_Matreyek_2018,beneficial,1,0.17903596308345862,0.17903596308345862,,
TPMT_HUMAN_Matreyek_2018,beneficial,2,-0.3246762643092585,0.051937914128874677,0.8660269024182266,-0.41691617616041454
TPMT_HUMAN_Matreyek_2018,beneficial,3,-0.502058388003946,0.04537202230788915,0.9428096341119154,-0.5495077564018102
TPMT_HUMAN_Matreyek_2018,beneficial,4,-0.606171298601704,0.029484340779717892,0.9678806276290937,-0.6394938975241492
TPMT_HUMAN_Matreyek_2018,beneficial,5,-0.6793996263969612,0.0088477022869214,0.9791059352471864,-0.7042186338998159
TPMT_HUMAN_Matreyek_2018,beneficial,6,-0.7302843578210977,0.001815148012201902,0.9844033983876346,-0.7499628617472434
TPMT_HUMAN_Matreyek_2018,random,1,0.4549274804841328,0.4549274804841328,,
TPMT_HUMAN_Matreyek_2018,random,2,0.005524217151788455,0.35473198191132627,0.6586453988604605,-0.47279617696745097
TPMT_HUMAN_Matreyek_2018,random,3,-0.255918180797758,0.285278620198376,0.7884803455722594,-0.6237067240936868
TPMT_HUMAN_Matreyek_2018,random,4,-0.4140594271570518,0.23272819396523461,0.8531942060357489,-0.702572641438843
TPMT_HUMAN_Matreyek_2018,random,5,-0.5113185203998745,0.21142939825450666,0.8811979289919725,-0.7552659702532158
TPMT_HUMAN_Matreyek_2018,random,6,-0.5840236814418478,0.19158146963496603,0.9011880645432693,-0.7928854104816315
UBC9_HUMAN_Weile_2017,beneficial,1,0.07050112176046547,0.07050112176046547,,
UBC9_HUMAN_Weile_2017,beneficial,2,-0.25717823055003847,0.015103441735955717,0.8050594104058054,-0.3374477186581563
UBC9_HUMAN_Weile_2017,beneficial,3,-0.4101045700542752,0.00020703510466206832,0.8809792598064186,-0.4783905883805707
UBC9_HUMAN_Weile_2017,beneficial,4,-0.5278347480425818,-0.01564209281894468,0.9151222196818741,-0.5757010722357797
UBC9_HUMAN_Weile_2017,beneficial,5,-0.6019934103947119,-0.025506762727874603,0.9318890092302546,-0.6421026652810246
UBC9_HUMAN_Weile_2017,beneficial,6,-0.6504058212226828,-0.02853413580164384,0.942626396814105,-0.6835893937715535
UBC9_HUMAN_Weile_2017,random,1,0.5041435558951838,0.5041435558951838,,
UBC9_HUMAN_Weile_2017,random,2,0.25697405591305694,0.41984745133612356,0.2977398309795462,-0.4726013598412612
UBC9_HUMAN_Weile_2017,random,3,0.08076650743632731,0.3698461897692603,0.40899073052097806,-0.5978560832078892
UBC9_HUMAN_Weile_2017,random,4,-0.0874925413602076,0.3277177917729044,0.527636003523217,-0.6820809312620292
UBC9_HUMAN_Weile_2017,random,5,-0.1872682382637532,0.3176572474793005,0.599675588894031,-0.7147281380904809
UBC9_HUMAN_Weile_2017,random,6,-0.2592989376361266,0.3089030164889836,0.6443090415570784,-0.7426177459378188
