assay,seed,scorer,naive_gate,forward_gate,naive_pass,forward_pass,yield,yield_with_audit,random_yield
A4GRB6_PSEAI_Chen_2020,30,pool_side,0.8930232558139535,0.7578947368421054,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,31,honest,0.5302325581395348,0.8210526315789474,False,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,31,adaptive_leak,0.8604651162790697,0.5684210526315789,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,31,pool_side,0.5302325581395348,0.8210526315789474,False,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,32,honest,0.8093023255813954,0.8526315789473684,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,32,adaptive_leak,0.772093023255814,0.7578947368421053,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,32,pool_side,0.8093023255813954,0.8526315789473684,True,True,1.0,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,33,honest,0.8325581395348838,0.8,True,True,5.0,3.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,33,adaptive_leak,0.8046511627906977,0.7263157894736842,True,True,2.0,2.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,33,pool_side,0.8325581395348838,0.8,True,True,0.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,34,honest,0.7441860465116279,0.7999999999999999,True,True,5.0,4.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,34,adaptive_leak,0.944186046511628,0.6473684210526316,True,True,1.0,1.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,34,pool_side,0.7441860465116279,0.7999999999999999,True,True,0.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,35,honest,0.7441860465116279,0.7894736842105263,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,35,adaptive_leak,0.8558139534883722,0.5368421052631579,True,False,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,35,pool_side,0.7441860465116279,0.7894736842105263,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,36,honest,0.8046511627906977,0.7157894736842105,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,36,adaptive_leak,0.8883720930232557,0.7263157894736842,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,36,pool_side,0.8046511627906977,0.7157894736842105,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,37,honest,0.8139534883720931,0.9578947368421052,True,True,5.0,4.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,37,adaptive_leak,0.6046511627906977,0.4,True,False,1.0,1.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,37,pool_side,0.8139534883720931,0.9578947368421052,True,True,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,38,honest,0.7627906976744185,0.7684210526315789,True,True,5.0,3.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,38,adaptive_leak,0.758139534883721,0.48947368421052634,True,False,0.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,38,pool_side,0.7627906976744185,0.7684210526315789,True,True,0.0,0.0,0.4745762711864407
A4GRB6_PSEAI_Chen_2020,39,honest,0.9069767441860466,0.9157894736842105,True,True,5.0,3.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,39,adaptive_leak,0.8837209302325582,0.5473684210526315,True,False,0.0,0.0,0.48426150121065376
A4GRB6_PSEAI_Chen_2020,39,pool_side,0.9069767441860466,0.9157894736842105,True,True,0.0,0.0,0.48426150121065376
AACC1_PSEAI_Dandage_2018,0,honest,0.6000000000000001,0.6736842105263159,True,True,1.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,0,adaptive_leak,1.0,0.49473684210526314,True,False,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,0,pool_side,0.6000000000000001,0.6736842105263159,True,True,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,1,honest,0.641860465116279,0.7894736842105263,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,1,adaptive_leak,0.8883720930232558,0.5894736842105264,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,1,pool_side,0.641860465116279,0.7894736842105263,True,True,0.0,0.0,0.49286936679977184
