assay,n_obs,seed,own,supplied
AACC1_PSEAI_Dandage_2018,96,4,0.5495601173020528,0.5495601173020528
AACC1_PSEAI_Dandage_2018,96,5,0.5214076246334312,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,6,0.5214076246334312,-0.4785923753665689
AACC1_PSEAI_Dandage_2018,96,7,0.5214076246334312,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,8,2.521407624633431,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,9,1.5214076246334312,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,10,-0.4785923753665689,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,11,-0.4222873900293255,0.5777126099706744
AACC1_PSEAI_Dandage_2018,96,12,-0.5067448680351906,0.4932551319648094
AACC1_PSEAI_Dandage_2018,96,13,-0.5067448680351906,0.4932551319648094
AACC1_PSEAI_Dandage_2018,96,14,-0.4785923753665689,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,15,-0.4504398826979472,0.5495601173020528
AACC1_PSEAI_Dandage_2018,96,16,0.5214076246334312,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,17,-0.4504398826979472,0.5495601173020528
AACC1_PSEAI_Dandage_2018,96,18,-0.4785923753665689,-0.4785923753665689
AACC1_PSEAI_Dandage_2018,96,19,0.4932551319648094,0.4932551319648094
AACC1_PSEAI_Dandage_2018,96,20,1.5214076246334312,1.5214076246334312
AACC1_PSEAI_Dandage_2018,96,21,0.5214076246334312,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,22,1.5214076246334312,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,23,0.5214076246334312,1.5214076246334312
AACC1_PSEAI_Dandage_2018,96,24,-0.4504398826979472,0.5495601173020528
AACC1_PSEAI_Dandage_2018,96,25,1.5214076246334312,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,26,-0.4504398826979472,0.5495601173020528
AACC1_PSEAI_Dandage_2018,96,27,2.4932551319648093,0.4932551319648094
AACC1_PSEAI_Dandage_2018,96,28,1.5214076246334312,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,29,1.5495601173020528,0.5495601173020528
AACC1_PSEAI_Dandage_2018,96,30,0.5214076246334312,-0.4785923753665689
AACC1_PSEAI_Dandage_2018,96,31,-0.4222873900293255,0.5777126099706744
AACC1_PSEAI_Dandage_2018,96,32,0.5214076246334312,-0.4785923753665689
AACC1_PSEAI_Dandage_2018,96,33,0.5495601173020528,0.5495601173020528
AACC1_PSEAI_Dandage_2018,96,34,0.5495601173020528,0.5495601173020528
AACC1_PSEAI_Dandage_2018,96,35,0.4932551319648094,0.4932551319648094
AACC1_PSEAI_Dandage_2018,96,36,1.5214076246334312,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,37,-0.5067448680351906,0.4932551319648094
AACC1_PSEAI_Dandage_2018,96,38,1.5214076246334312,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,39,1.4932551319648093,0.4932551319648094
AACC1_PSEAI_Dandage_2018,192,0,0.49285270354257305,0.49285270354257305
AACC1_PSEAI_Dandage_2018,192,1,1.5525170913610937,0.5525170913610938
AACC1_PSEAI_Dandage_2018,192,2,0.5525170913610938,1.5525170913610937
AACC1_PSEAI_Dandage_2018,192,3,-0.47731510254816656,0.5226848974518334
AACC1_PSEAI_Dandage_2018,192,4,0.5525170913610938,0.5525170913610938
AACC1_PSEAI_Dandage_2018,192,5,1.5226848974518334,0.5226848974518334
AACC1_PSEAI_Dandage_2018,192,6,-0.44748290863890616,0.5525170913610938
AACC1_PSEAI_Dandage_2018,192,7,2.5823492852703542,-0.41765071472964577
AACC1_PSEAI_Dandage_2018,192,8,-0.5369794903666874,0.46302050963331265
AACC1_PSEAI_Dandage_2018,192,9,1.4928527035425732,0.49285270354257305
AACC1_PSEAI_Dandage_2018,192,10,0.5226848974518334,0.5226848974518334
AACC1_PSEAI_Dandage_2018,192,11,1.5823492852703542,0.5823492852703542
AACC1_PSEAI_Dandage_2018,192,12,0.5226848974518334,0.5226848974518334
AACC1_PSEAI_Dandage_2018,192,13,1.4928527035425732,0.49285270354257305
AACC1_PSEAI_Dandage_2018,192,14,0.49285270354257305,1.4928527035425732
AACC1_PSEAI_Dandage_2018,192,15,1.5226848974518334,0.5226848974518334
